
━━ BEAT 1  fresh save  flags=[] ━━
  map   18  sasune_guard_w           [idle] "The gate stays open." / "Nobody comes anyway." / "Not since Sara went."
  map   18  sasune_guard_e           [idle] "Kazus lies south." / "Go carefully."
  map   18  sasune_post_w            [idle] "The keep is watched." / "Move along, traveler."
  map   18  sasune_post_e            [idle] "The keep is watched." / "Move along, traveler."
  map   18  sasune_post_nw           [idle] "The keep is watched." / "Move along, traveler."
  map   18  sasune_post_ne           [idle] "The keep is watched." / "Move along, traveler."
  map   29  sasune_king              [idle] "King Sasune. Or I was." / "The Djinn made ghosts" / "of my whole house."
  map   29  sasune_king              [-] (not placed)
  map   29  sasune_attendant_w       [idle] "We cannot even weep." / "Ghosts have no water in them."
  map   29  sasune_attendant_w       [-] (not placed)
  map   29  sasune_attendant_e       [idle] "We cannot even weep." / "Ghosts have no water in them."
  map   29  sasune_attendant_e       [-] (not placed)
  map   25  sasune_hall_servant      [idle] "I was out when it came." / "Eggs. I was carrying eggs." / "I saw Sara go."
  map   25  sasune_hall_servant_e    [idle] "The halls run long." / "Keep to the lit ones."
  map   10  kazus_town_b             [idle] "The mines gave out." / "The fire still catches."
  map   10  kazus_town_c             [idle] "Mythril still comes up." / "Little else does."
  map   10  kazus_town_d             [idle] "A Canaan man came through." / "Left an airship in the sand."
  map   10  kazus_smith              [idle] "I cut the ring here." / "Mythril. That is why" / "it came for us."
  map   12  kazus_inn_keep           [idle] "Beds upstairs." / "Ale down here."
  map   12  kazus_item_keeper        [idle] "Mythril town, mythril prices." / "Potions and cures."
  map   12  kazus_inn_guest_b        [idle] "Sasune lies north." / "The castle still stands."
  map   12  cid                      [idle] "Cid, of Canaan." / "The curse caught me here."
  map   12  cid                      [-] (not placed)
  map   16  kazus_weapon_keeper      [idle] "Mythril holds an edge." / "It costs what it costs."
  map   17  kazus_armor_keeper       [idle] "Mythril plate." / "Dear, but it turns a blade."
  map   13  kazus_house2_resident    [idle] "The mines run under us." / "You hear them at night."
  map   14  kazus_house3_resident    [idle] "Rings were made here." / "Mythril takes the binding."
  map    8  inn_item_keeper          [SILENT] *** SILENT ***
  map    8  inn_keeper               [idle] "Welcome to our inn, traveler!" / "The beds here are free." / "Rest as long as you like." / "A good sleep mends all." / "Sweet dreams, dear!"
  map    8  inn_guest                [idle] "A bed and no coin asked." / "I have stayed three nights."
  map    5  weapon_keeper            [SILENT] *** SILENT ***
  map    9  ur_tavern_keep           [idle] "Ale? Sit anywhere." / "No one hurries out."
  map    9  ur_tavern_drinker_a      [idle] "Drink up, friend." / "The dark keeps anyway."
