FF1 script — 341 strings

0x000  Nothing here.
0x001  LIGHT WARRIORS:: Just as / in Lukahn's prophecy. / Garland has kidnapped / the Princess. Please / help her''
0x002  Thank you for saving the / Princess. To aid your / quest I ordered a bridge / built to the continent. / Go now, and make the / ORBS shine again''
0x003  The Princess always / worries about you.
0x004  No one touches my / Princess'' / LIGHT WARRIORS?? / You impertinent fools. / I, Garland, will knock / you all down''
0x005  So, you are the / LIGHT WARRIORS' / Thank you.
0x006  This LUTE has been / passed down from Queen / to Princess for 2000 / years. Garland stole it / when he kidnapped me. / Please accept it as my / gift, it just might come / in handy.
0x007  Now, get ready for your / trip, and make the ORBS / shine again.
0x008  Aye, I am Bikke the / Pirate, and surprised I / am that you scurvy dogs / have the nerve to face / me. / Mates' / Get those landlubbers'
0x009  Okay, you got me. / Take my SHIP.
0x00a  I won't be any more / bother. I promise.
0x00b  For five years the / Prince has slept / under Astos' spell. / Only HERB can wake him'
0x00c  Oh, this HERB will / release the Prince from / Astos' curse. Look' / He is waking::
0x00d  Thank you. / Peace will return to / ElfLand.
0x00e  Is this a dream?:: / Are you, the / LIGHT WARRIORS?:: / Is this for real?:: / So, as legend says, / I give you the mystic / KEY.
0x00f  I feel fine now. / Thank you.
0x010  z::z::
0x011  Astos double!crossed us. / Go south, to the Cave of / Marsh, to retrieve the / CROWN. Then, bring it / directly back to me'
0x012  HA, HA, HA' I am Astos, / King of the Dark Elves. / I have Matoya's CRYSTAL, / and you shall give me / that CROWN, now'''
0x013  A rock blocks / construction of my / canal. / If I only had TNT.
0x014  Oh, wonderful' / Nice work' Yes, yes / indeed, this TNT is just / what I need to finish my / canal. Now excuse me / while I get to work'
0x015  For the LIGHT / WARRIORS I will make a / truly legendary sword. / However, my supply of / ADAMANT is exhausted.
0x016  ADAMANT'' / Now let me make / the sword for you:: / Here, the best work I've / ever done. / It is my gift.
0x017  Where is my CRYSTAL? / I can't see anything / without it:: Who stole / my CRYSTAL?
0x018  WARRIORS. / Revive the Power of / the ORBS'
0x019  The Prince needs HERB? / I'll trade the most / powerful HERB to get my / CRYSTAL back:: / Oh' I can see''
0x01a  You have no more / business here. Go''
0x01b  Everybody knows me. / What?' You've never / heard of Dr. Unne?
0x01c  A SLAB'' / This SLAB will lead us / to solve the riddle of / the Lefeinish'' / Now, listen to me::
0x01d  All living things were / born to die. / No one can defeat me, / the Vampire''
0x01e  Use this ROD behind the / Vampire's room. Hiding / deep inside you will / find the cause of the / earth's rot.
0x01f  «BAHAMUT»  I am BAHAMUT, King of / the Dragons. Bring me / proof of your courage, / to receive the honor / due true Warriors.
0x020  The TAIL of a rat proves / your courage. I shall / give you the honor due / true Warriors.
0x021  The four ORBS now cover / the black ORB:: / To take a step forward / is to go back 2000 years / in time.
0x022  The black ORB / glitters ominously:: / But nothing happens.
0x023  That pirate trapped me / in the BOTTLE. / I will draw OXYALE from / the bottom of the spring / for you.
0x024  Thank you for saving me. / Remember' OXYALE will / give you air.
0x025  I made a submarine to / save the mermaids. But, / to go deep enough it / will require OXYALE.
0x026  WARRIORS, you have / OXYALE. The mermaids / wait, please help them'
0x027  Take this CUBE. With it, / you can transfer to the / FLOATING CASTLE.
0x028  Please::
0x029  No one passes this road.
0x02a  If you want pass, give / me the RUBY:: / Crunch, crunch, crunch, / mmm, it tastes so sweet. / Rubies are my favorite.
0x02b  Great job vanquishing / the Earth FIEND. Now, / the Fire FIEND wakes. / With this CANOE go to / the VOLCANO, and defeat / that FIEND also'
0x02c  400 years ago, we lost / control of the Wind. / 200 years later we lost / the Water, then Earth, / and Fire followed. The / Powers that bind this / world are gone.
0x02d  Possession of the CROWN / is required to test your / courage. Take it to the / royal throne, and bring / back proof of your / courage. GOOD LUCK'
0x02e  Remember me, Garland? / Your puny lot thought it / had defeated me. But, / the Four FIENDS sent me / back 2000 years into / the past.
0x02f  From here I sent the / Four FIENDS to the / future. The FIENDS will / send me back to here, / and the Time!Loop will / go on.
0x030  After 2000 years, I will / be forgotten, and the / Time!Loop will close. I / will live forever, and / you shall meet doom''
0x031  The King is looking for / the LIGHT WARRIORS. You / do not happen to be them / do you?
0x032  Yes Sir'' / I belong to the Honor / Guard of Castle Coneria.
0x033  Please' / Save the Princess'
0x034  Thank you for rescuing / the Princess.
0x035  Legend says that the / LUTE can break the evil / gate.
0x036  Garland used to be a / good knight until::
0x037  In sadness, the Queen / locked herself inside.
0x038  The Princess was / looking for you'
0x039  So, you are the / LIGHT WARRIORS?
0x03a  Don't be greedy. You / already have too many / weapons to carry.
0x03b  «Jane»  I am Jane, Queen of / Coneria. Please save my / daughter, Princess Sara.
0x03c  Thank you for saving / Princess Sara.
0x03d  Oh:: My sister::
0x03e  My sister is back safe' / Thank you.
0x03f  Reports say that Garland / holds the Princess in a / Temple to the northwest.
0x040  Use that KEY. Inside / what you find will be / quite helpful.
0x041  400 years ago the / Treasury was locked by / the mystic KEY. Our / ancestors gave the KEY / to the Prince of ElfLand / for safekeeping.
0x042  This treasure room is / locked with the mystical / KEY.
0x043  The King is sure that / someday the LIGHT / WARRIORS will come to / save the Princess, / just as in Lukahn's / prophecy.
0x044  Lukahn left this town, / to join his colleagues / at Crescent Lake.
0x045  As legend foretold, once / again the ORBS shine'' / Quickly, to fulfill the / legend, take them to the / Temple north of here, / and stand in the center.
0x046  Go to the King.
0x047  «Arylon»  I am Arylon, the Dancer'
0x048  This is Coneria, the / dream city.
0x049  North of Coneria lives / a witch named Matoya.
0x04a  Matoya has poor / eyesight. She needs the / CRYSTAL to see.
0x04b  My home is Pravoka, a / beautiful port city far / east of here.
0x04c  Kee::Kee::
0x04d  Help' The FIEND's curse / turned us into bats. / With the ORBS shining / anew, once again we / can speak'
0x04e  The Four FIENDS power / is rooted 2000 years / ago. The real enemy is / in that time.
0x04f  When the 4 ORBS cover / the black ORB in the / center of the palace, / the Time Gate can open.
0x050  You must travel back in / time 2000 years. Now, / with the ORBS shining, / stand in the Time Gate.
0x051  We are the five lost / SKY WARRIORS. 400 years / ago we battled against / the cause of the world's / destruction.
0x052  Thank you. We don't need / to be afraid of pirates / anymore.
0x053  I have escaped from / Melmond, in the west. / My town is in trouble. / Please help them''
0x054  The Elves live across / the sea. Matoya's HERB / is the only thing that / will wake their Prince.
0x055  This town has been / invaded by pirates.
0x056  Ships can stop only at / ports. There are no / ports in the north.
0x057  Help'
0x058  There are many dangerous / monsters in the sea. / Be careful'
0x059  Astos put the Prince to / sleep. / Please' Save him'
0x05a  The Prince is awake' / Thank you so much.
